image_id,file,language,gt_file,category,notes
it_geo_07,it_geo_07.jpg,italian,gt/it_geo_07.blocks.json,multicol,"Il Veneto bk ch.7 pp.190-191 (i6); READING-ORDER fixture: multi-panel evolutionary schema, each stage = diagram + two-column text (Tn-mid then Tn-right) -> tests ROW-major vs column-major linearization past N=1 (it_geo_04); + chronology table + 3-col inset; BLOCK-ORDER GT; sofa capture; owner-validated 2026-07-03"
de_01,de_01.jpg,german,,"orientation,multicol","German via-ferrata guide (Latemartuerme-Klettersteig), pp.276-277; sharpest of 3-frame phone set; banners + icon sidebar + parallel DE/EN cols + stacked photos. ORIENTATION FIXTURE: spurious EXIF 6 -> OSD-starve -> sideways (GT gt/orientation.json). Also a READING-ORDER FIXTURE (Finding 3): BLOCK-ORDER GT at gt/de_01.blocks.json (found by tools/layout_order_eval by convention) proves the right-page German instruction column reads Anreise->Zustieg->Route top-to-bottom (was fully reversed pre stage04 v0.2.0). gt_file column left EMPTY on purpose: it is NOT verbatim text WER GT, and gate1_harness/dewarp_ab read gt_file as text. Proposed-from-photo, not owner-validated; icon sidebar order deferred (symptom 1)."
de_02,de_02.jpg,german,,orientation,"German via-ferrata guide (Rotwandklettersteig), pp.270-271; sharpest of 3-frame set; same complex layout + hand-drawn topo map. ORIENTATION FIXTURE: spurious EXIF 8; same OSD-starve failure as de_01. GT in gt/orientation.json."
skewset_en_01_135113,skewset_en_01_135113.jpg,english,,skewset,"multi-view skew set skewset_en_01 (p.12 (What Are Chopmarks?)), anchor frame; strong curl; see testset/skewset_manifest.json. NO band GT yet."
skewset_en_01_135111,skewset_en_01_135111.jpg,english,,skewset,"multi-view skew set skewset_en_01 (p.12 (What Are Chopmarks?)), candidate frame; strong curl; see testset/skewset_manifest.json. NO band GT yet."
skewset_en_02_135006,skewset_en_02_135006.jpg,english,,skewset,"multi-view skew set skewset_en_02 (p.191 (Seated Dollar / China trade)), anchor frame; strong curl; see testset/skewset_manifest.json. NO band GT yet."
skewset_en_02_135009,skewset_en_02_135009.jpg,english,,skewset,"multi-view skew set skewset_en_02 (p.191 (Seated Dollar / China trade)), candidate frame; strong curl; see testset/skewset_manifest.json. NO band GT yet."
skewset_it_01_134801,skewset_it_01_134801.jpg,italian,,skewset,"multi-view skew set skewset_it_01 (p.62 (Galleria Goiginger)), anchor frame; strong curl; see testset/skewset_manifest.json. NO band GT yet."
skewset_it_01_134804,skewset_it_01_134804.jpg,italian,,skewset,"multi-view skew set skewset_it_01 (p.62 (Galleria Goiginger)), candidate frame; strong curl; see testset/skewset_manifest.json. NO band GT yet."
skewset_de_01_134828,skewset_de_01_134828.jpg,german,,skewset,"multi-view skew set skewset_de_01 (pp.40-41 (Arzalpenturm-Klettersteig)), anchor frame; mild curl; see testset/skewset_manifest.json. NO band GT yet."
skewset_de_01_134824,skewset_de_01_134824.jpg,german,,skewset,"multi-view skew set skewset_de_01 (pp.40-41 (Arzalpenturm-Klettersteig)), candidate frame; mild curl; see testset/skewset_manifest.json. NO band GT yet."
skewset_orient_01_134655,skewset_orient_01_134655.jpg,italian,,skewset,"multi-view skew set skewset_orient_01 (orientation fixture), extra frame; mild curl; see testset/skewset_manifest.json. NO band GT yet."
skewset_orient_01_134657,skewset_orient_01_134657.jpg,italian,,skewset,"multi-view skew set skewset_orient_01 (orientation fixture), anchor frame; mild curl; see testset/skewset_manifest.json. NO band GT yet."
skewset_orient_02_134724,skewset_orient_02_134724.jpg,italian,,skewset,"multi-view skew set skewset_orient_02 (orientation fixture + photo-page regression guard), anchor frame; mild curl; see testset/skewset_manifest.json. NO band GT yet."
skewset_orient_02_134731,skewset_orient_02_134731.jpg,italian,,skewset,"multi-view skew set skewset_orient_02 (orientation fixture + photo-page regression guard), candidate frame; mild curl; see testset/skewset_manifest.json. NO band GT yet."
de_01_091915,de_01_091915.jpg,german,,frameset,"Sibling frame of the de_01 3-frame phone set (Latemartuerme-Klettersteig, pp.276-277), 2026-07-18 09:19:15; sharpness 571 vs de_01.jpg 634 (de_01 is the sharpest of the set). Registered so the whole real-capture set lives in testset/ rather than the gitignored drop folder. Spurious EXIF 6 like the rest of this owner's captures. NO GT of its own -- graded GT lives on de_01."
de_01_091921,de_01_091921.jpg,german,,frameset,"Sibling frame of the de_01 3-frame set, 09:19:21; the least sharp of the three. Same spread/layout as de_01 (banners + icon sidebar + parallel DE/EN cols + stacked photos). NO GT of its own."
de_02_092054,de_02_092054.jpg,german,,frameset,"Sibling frame of the de_02 3-frame set (Rotwandklettersteig, pp.270-271), 09:20:54; sharpness 659 vs de_02.jpg 670. Spurious EXIF 8. NO GT of its own -- orientation GT lives on de_02."
de_02_092058,de_02_092058.jpg,german,,frameset,"Sibling frame of the de_02 3-frame set, 09:20:58; least sharp of the three. NO GT of its own."
bg_taleb_01,bg_taleb_01.jpg,bulgarian,,frameset,"REAL-CAPTURE Bulgarian spread (N. Taleb, Bulgarian translation, pp.224-225), sharpest of a 3-frame phone set (09:36:31, sharpness 469). This is the capture behind the 2026-07-18 Finding 2 cross-gutter descramble (jobs/realtest_bg): curved shadowed gutter that the projection-profile valley test scored 0.85 -> emitted single.png -> reading order read ACROSS the spine. Promoted into testset/ 2026-08-18 so that fixture is registered rather than living in the gitignored drop folder. NO GT yet (neither text nor blocks) -- it is a real-capture regression SAMPLE, not a graded fixture."
bg_taleb_01_093629,bg_taleb_01_093629.jpg,bulgarian,,frameset,"Sibling frame of the bg_taleb_01 3-frame set, 09:36:29, least sharp (327). NO GT."
bg_taleb_01_093636,bg_taleb_01_093636.jpg,bulgarian,,frameset,"Sibling frame of the bg_taleb_01 3-frame set, 09:36:36 (413). NO GT."
